pos,row,col,slope2d,slope3d,aspect2d,aspect3d,global2d,global3d,beam2d,beam3d,dif2d,dif3d,ref2d,ref3d,percentageShaded2d,percentageShaded3d
"[-3306.102505,-9004.811836,21.634412]",1798,1073,0.520841,2.055901,322.733398,280.157930,75402.382813,78301.132813,54037.308594,56938.082031,21365.080078,21358.203125,0.000000,4.841296,0.525397,0.526984,
"[-3153.569069,-8919.494954,21.827053]",1457,1683,0.505204,2.019061,294.804993,326.671452,74492.210938,75880.132813,53127.128906,54517.117188,21365.080078,21358.447266,0.000000,4.568645,0.512698,0.522222,
"[-2581.577080,-9128.734859,13.364038]",2294,3971,3.562924,3.358485,317.646271,118.663541,79007.859375,72812.476563,57642.777344,51452.355469,21365.080078,21346.732422,0.000000,13.385309,0.482540,0.526984,
"[-2960.711474,-9434.389231,11.782847]",3516,2454,2.482636,4.317054,45.031189,291.961947,66504.359375,73340.015625,45139.285156,51986.335938,21365.080078,21334.771484,0.000000,18.898434,0.534921,0.534921,
"[-3173.680786,-9541.901281,10.705572]",3946,1602,0.533414,1.184326,83.291023,130.694388,90011.687500,88364.523438,68646.601563,66999.804688,21365.080078,21362.798828,0.000000,1.922288,0.304762,0.311111,
"[-3318.693312,-9000.776351,21.657053]",1782,1022,0.462472,1.825058,276.764801,45.661675,76581.945313,73014.976563,55216.875000,51651.484375,21365.080078,21359.662109,0.000000,3.823636,0.538095,0.547619,
"[-3331.015516,-8725.320859,21.724437]",680,973,0.297352,3.070480,44.821323,245.080256,69312.250000,73998.960938,47947.175781,52639.253906,21365.080078,21349.742188,0.000000,9.978480,0.592063,0.588889,
"[-2584.632449,-9147.802526,13.066480]",2370,3958,1.817960,2.393610,223.345444,224.559109,60031.609375,61770.753906,38666.527344,40409.757813,21365.080078,21355.759766,0.000000,5.235910,0.639683,0.641270,
"[-3431.809126,-8803.474755,17.469032]",992,570,0.106212,3.576285,16.159986,333.262275,98569.718750,99201.351563,77204.632813,77838.593750,21365.080078,21344.279297,0.000000,18.468521,0.130159,0.250794,
"[-3114.487203,-8913.340839,22.523365]",1432,1839,3.373890,3.050621,41.544022,308.020866,91474.398438,96764.375000,70109.312500,75401.460938,21365.080078,21349.945313,0.000000,12.956565,0.358730,0.358730,
"[-2845.614706,-9560.901691,9.268607]",4022,2914,2.018153,1.878426,226.901627,345.671550,94995.335938,96256.921875,73630.257813,74892.468750,21365.080078,21359.339844,0.000000,5.113606,0.288889,0.276190,
"[-3380.707236,-8985.441507,19.824012]",1720,774,0.270967,1.074359,340.001099,359.807527,82521.109375,82314.960938,61156.031250,60950.304688,21365.080078,21363.201172,0.000000,1.444577,0.436508,0.444444,
"[-2755.330223,-9358.723884,11.928338]",3213,3276,1.952317,3.260493,266.480865,315.578739,81040.140625,86721.554688,59675.070313,65360.324219,21365.080078,21347.787109,0.000000,13.451754,0.492063,0.466667,
"[-3435.703883,-8936.410362,19.705085]",1524,554,0.415153,3.329630,196.178467,225.104264,66000.656250,74843.195313,44635.570313,53483.890625,21365.080078,21347.042969,0.000000,12.253869,0.565079,0.517460,
"[-2735.957167,-9234.061022,14.963243]",2715,3353,2.309653,0.717177,351.956116,162.135317,59085.949219,59531.121094,37720.867188,38166.414063,21365.080078,21364.244141,0.000000,0.469109,0.712698,0.706349,
"[-3126.842982,-9425.141244,15.598451]",3479,1790,1.080056,4.427782,234.088333,149.349150,51230.992188,48973.429688,29865.917969,27624.738281,21365.080078,21333.195313,0.000000,15.493581,0.734921,0.723810,
"[-3050.089419,-8856.339611,22.288215]",1204,2097,0.549728,1.950626,261.483307,205.850516,89730.734375,92169.382813,68365.656250,70805.296875,21365.080078,21358.890625,0.000000,5.197768,0.326984,0.331746,
"[-3403.605718,-9149.954785,45.696478]",2378,683,3.319329,3.915392,196.350189,207.795170,93138.414063,98140.609375,71773.328125,76778.757813,21365.080078,21340.146484,0.000000,21.689520,0.260317,0.260317,
"[-3088.634078,-8870.968245,22.229076]",1262,1942,0.395250,0.974165,193.559814,138.841023,94900.593750,93697.218750,73535.515625,72332.289063,21365.080078,21363.537109,0.000000,1.374321,0.273016,0.266667,
"[-3126.775831,-9106.438804,16.739322]",2204,1790,4.950889,2.625039,219.184494,349.627555,79987.875000,81024.937500,58622.796875,59662.574219,21365.080078,21353.869141,0.000000,8.484645,0.507937,0.496825,
"[-3476.901005,-8901.772448,17.807449]",1386,389,3.868708,1.324493,270.829041,284.376401,92757.296875,86326.960938,71392.210938,64962.480469,21365.080078,21362.226563,0.000000,2.241544,0.247619,0.434921,
"[-2629.925780,-8958.504644,15.562645]",1613,3777,2.042117,2.241860,271.379333,236.220327,80783.890625,86329.859375,59418.828125,64966.570313,21365.080078,21356.902344,0.000000,6.375038,0.480952,0.457143,
"[-2780.444687,-8756.595869,22.340274]",805,3175,1.810861,4.406853,260.078522,256.230929,72909.539063,79717.390625,51544.460938,58362.390625,21365.080078,21333.500000,0.000000,21.498213,0.355556,0.368254,
"[-3337.730613,-8943.976897,21.711628]",1554,946,1.291730,1.998530,185.777145,174.164781,48043.953125,52401.171875,26678.869141,31039.390625,21365.080078,21358.583984,0.000000,3.193485,0.719048,0.679365,
"[-2932.004433,-8809.965161,22.151060]",1018,2569,4.309469,2.471124,89.698357,110.614056,82563.828125,78555.000000,61198.746094,57192.160156,21365.080078,21355.144531,0.000000,7.698422,0.487302,0.480952,
"[-2740.859188,-9400.020349,9.615157]",3379,3334,1.044479,3.910919,250.633362,17.586813,95253.554688,94236.273438,73888.476563,72873.484375,21365.080078,21340.203125,0.000000,22.587891,0.258730,0.209524,
"[-2841.753525,-8969.299566,19.662328]",1656,2930,4.083430,2.438337,68.995682,153.525929,52407.429688,55783.441406,31042.349609,34422.945313,21365.080078,21355.408203,0.000000,5.088436,0.741270,0.712698,
"[-3092.528834,-9098.435091,18.255142]",2172,1927,0.312260,0.650699,160.410919,209.923080,51727.394531,52196.605469,30362.308594,30831.886719,21365.080078,21364.388672,0.000000,0.332713,0.695238,0.696825,
"[-3066.004200,-8960.522386,20.742168]",1621,2033,0.937250,1.543959,95.912331,76.229201,70299.289063,68559.031250,48934.203125,47195.253906,21365.080078,21361.203125,0.000000,2.571030,0.612698,0.607937,
