pos,row,col,slope2d,slope3d,aspect2d,aspect3d,global2d,global3d,beam2d,beam3d,dif2d,dif3d,ref2d,ref3d,percentageShaded2d,percentageShaded3d
"[-2792.834041,-9441.417701,9.808031]",3544,3126,0.765981,0.557055,169.536499,184.065048,2129332.250000,2131744.000000,1774629.125000,1777040.500000,354702.187500,354693.656250,0.000000,10.078765,0.232969,0.228166,
"[-3209.572981,-8703.731014,21.735132]",594,1459,0.988929,3.942926,95.564133,243.777683,1194777.750000,1227238.250000,840075.812500,872668.500000,354702.187500,354282.312500,0.000000,287.451172,0.642358,0.637118,
"[-2708.660296,-9066.588388,16.990388]",2045,3462,2.807942,4.822895,250.451019,169.937356,1661553.125000,1666805.375000,1306851.750000,1312138.000000,354702.187500,354074.093750,0.000000,592.263184,0.496943,0.490175,
"[-2873.616662,-9557.975964,9.367574]",4010,2802,2.589385,2.303843,265.155823,245.929182,2155261.750000,2194755.500000,1800559.750000,1840021.625000,354702.187500,354558.625000,0.000000,174.381500,0.184825,0.182533,
"[-3445.843680,-8966.306581,36.952219]",1644,514,0.660398,2.806188,215.694183,37.768217,2073346.625000,2062221.500000,1718645.500000,1707483.250000,354702.187500,354489.562500,0.000000,249.826569,0.257969,0.251528,
"[-3191.542944,-9221.752792,15.905370]",2666,1531,4.623139,3.924415,188.771240,113.815056,1762084.250000,1726045.625000,1407382.125000,1371343.125000,354702.187500,354286.156250,0.000000,416.543121,0.512118,0.505131,
"[-3483.078894,-8947.070769,20.153171]",1567,365,0.886497,4.639965,60.096123,306.621929,840178.562500,1030192.812500,485476.875000,675732.375000,354702.187500,354120.875000,0.000000,339.709412,0.661900,0.648253,
"[-3184.827847,-8792.377171,20.859964]",948,1558,2.111280,4.280009,315.155121,350.595735,1698484.875000,1721701.875000,1343782.125000,1367012.375000,354702.187500,354207.406250,0.000000,482.142792,0.479694,0.468341,
"[-2899.033305,-9329.163955,13.599418]",3095,2701,1.377503,2.113538,12.723640,239.404697,1346884.375000,1373396.250000,992182.812500,1018722.687500,354702.187500,354581.500000,0.000000,92.789780,0.618996,0.605677,
"[-3422.575868,-8948.449560,19.788530]",1572,607,1.153773,2.859902,278.071014,50.636177,1929799.750000,1934340.000000,1575098.375000,1579614.375000,354702.187500,354481.125000,0.000000,244.526215,0.370087,0.334061,
"[-2995.797858,-9125.540100,17.801683]",2281,2314,2.261693,3.124744,290.378723,257.194430,1424658.125000,1477804.125000,1069955.625000,1123150.125000,354702.187500,354438.437500,0.000000,215.682999,0.631441,0.616703,
"[-2736.561526,-9268.093613,14.355391]",2851,3351,1.349003,1.640627,349.451385,119.560731,1530650.250000,1633551.375000,1175946.875000,1278853.750000,354702.187500,354629.468750,0.000000,67.932564,0.579367,0.519541,
"[-3382.856067,-8946.028269,19.791984]",1563,766,0.715588,2.306026,91.540123,95.227740,2131134.500000,2081255.875000,1776432.750000,1726527.250000,354702.187500,354558.437500,0.000000,172.281082,0.238974,0.244323,
"[-3275.246632,-9179.212053,16.999096]",2495,1196,1.604752,2.019542,355.053497,94.620346,1432909.500000,1441585.875000,1078208.375000,1086904.000000,354702.187500,354591.875000,0.000000,90.908623,0.564629,0.552293,
