pos,row,col,slope2d,slope3d,aspect2d,aspect3d,global2d,global3d,beam2d,beam3d,dif2d,dif3d,ref2d,ref3d,percentageShaded,percentageShaded3d
"[-2909.072376,-8935.670523,21.243463]",1521,2661,2.055812,0.919860,34.975311,178.349194,1896269.375000,1911716.625000,1541567.375000,1557015.875000,354702.187500,354702.187500,0.000000,0.000000,0.408079,0.398799,
"[-2894.970671,-8692.667059,20.352407]",549,2717,0.149188,0.599532,341.618134,105.484021,1997894.750000,1998158.500000,1643193.000000,1643456.250000,354702.187500,354702.187500,0.000000,0.000000,0.326092,0.329476,
"[-3079.568697,-8963.952548,20.561288]",1634,1979,2.176890,0.406173,309.594635,268.624826,1704586.500000,1705997.375000,1349884.625000,1351295.250000,354702.187500,354702.187500,0.000000,0.000000,0.505022,0.506223,
"[-3289.146884,-9136.973975,18.206707]",2326,1140,0.524531,1.803607,237.965515,244.890548,1923994.750000,1921483.500000,1569292.125000,1566780.875000,354702.187500,354702.187500,0.000000,0.000000,0.350764,0.354148,
"[-2869.050396,-8655.002531,19.439487]",399,2821,3.030041,0.790058,353.508636,304.558387,1968384.875000,1973561.875000,1613682.750000,1618860.000000,354702.187500,354702.187500,0.000000,0.000000,0.370524,0.363755,
"[-2739.583320,-8817.329921,19.610397]",1048,3339,2.898448,1.467491,120.284477,83.274359,1260146.625000,1371409.125000,905444.250000,1016707.125000,354702.187500,354702.187500,0.000000,0.000000,0.628384,0.592576,
"[-3376.174545,-8972.931503,19.788761]",1670,792,1.489166,4.391887,77.370880,102.457201,2136869.000000,2131241.750000,1782166.625000,1776539.500000,354702.187500,354702.187500,0.000000,0.000000,0.240830,0.244105,
"[-2728.906315,-9172.822534,15.957144]",2470,3381,3.994894,3.895294,184.231995,174.310547,1646654.750000,1650911.125000,1291952.250000,1296208.500000,354702.187500,354702.187500,0.000000,0.000000,0.495087,0.494432,
"[-2833.359654,-8965.970291,19.541061]",1642,2964,1.433824,2.786727,6.370085,344.665495,1843247.500000,1838999.375000,1488545.375000,1484297.500000,354702.187500,354702.187500,0.000000,0.000000,0.401528,0.399454,
"[-2632.276064,-8939.235202,15.648810]",1536,3768,3.289873,3.673393,156.614929,256.594577,2000574.625000,2004635.125000,1645872.125000,1649932.500000,354702.187500,354702.187500,0.000000,0.000000,0.362227,0.358843,
"[-3031.958657,-9280.334585,14.255674]",2900,2169,1.642147,2.391966,169.971146,153.044038,1804013.875000,1813887.125000,1449311.750000,1459185.625000,354702.187500,354702.187500,0.000000,0.000000,0.461790,0.457314,
"[-3348.911250,-8647.032447,21.308427]",367,901,1.700236,2.815086,148.937119,214.000423,1651181.875000,1660501.625000,1296479.500000,1305800.125000,354702.187500,354702.187500,0.000000,0.000000,0.525328,0.525328,
"[-2674.346149,-9276.702648,13.140364]",2885,3600,3.211497,4.752833,216.735703,55.031441,1511282.750000,1521627.250000,1156580.875000,1166925.500000,354702.187500,354702.187500,0.000000,0.000000,0.568777,0.563646,
"[-3199.433184,-8846.957108,20.847082]",1166,1499,0.129323,2.451773,227.465759,307.703083,1881857.500000,1913036.000000,1527156.500000,1558334.000000,354702.187500,354702.187500,0.000000,0.000000,0.378057,0.368996,
"[-3051.063109,-9534.771924,10.382074]",3918,2093,1.333846,3.039602,78.133644,183.752127,1979044.375000,1979955.375000,1624341.750000,1625253.000000,354702.187500,354702.187500,0.000000,0.000000,0.264083,0.262009,
"[-3332.123507,-9125.943649,18.447744]",2282,968,2.871996,1.137560,187.068146,59.247684,1612564.500000,1630346.000000,1257861.500000,1275642.750000,354702.187500,354702.187500,0.000000,0.000000,0.550437,0.543013,
"[-3039.345264,-9446.731090,11.558005]",3566,2140,0.411026,4.476418,160.006485,138.033261,1815959.250000,1809895.625000,1461257.750000,1455194.000000,354702.187500,354702.187500,0.000000,0.000000,0.448799,0.447162,
"[-2811.132681,-9143.699783,17.258535]",2353,3052,1.173997,1.001474,148.973145,352.045919,1863628.250000,1914922.750000,1508926.125000,1560220.875000,354702.187500,354702.187500,0.000000,0.000000,0.454476,0.418450,
"[-3425.765539,-8799.304754,17.427187]",976,594,4.768848,3.187925,142.177979,42.032608,2130525.000000,2120225.750000,1775823.375000,1765523.125000,354702.187500,354702.187500,0.000000,0.000000,0.203493,0.232096,
"[-2822.481196,-9227.335213,14.406450]",2688,3007,3.646343,3.567710,164.652985,169.402870,1941071.375000,1949791.875000,1586369.250000,1595090.000000,354702.187500,354702.187500,0.000000,0.000000,0.387773,0.381114,
"[-2604.341260,-9456.348996,8.825541]",3604,3880,0.890593,1.148249,238.552765,292.167940,1719773.500000,1753913.750000,1365071.375000,1399212.250000,354702.187500,354702.187500,0.000000,0.000000,0.484498,0.467686,
"[-3086.350945,-9545.432331,10.693838]",3960,1952,0.705950,1.493615,298.861206,180.075471,1929492.500000,1922218.875000,1574790.500000,1567516.625000,354702.187500,354702.187500,0.000000,0.000000,0.297598,0.298035,
"[-3383.527577,-9034.842571,19.771396]",1918,763,0.512557,4.180093,260.501526,296.471353,2036910.500000,2021330.000000,1682208.500000,1666628.750000,354702.187500,354702.187500,0.000000,0.000000,0.303057,0.316485,
